Name,Industry,Sector,Headquarters,Founded,Notes
Agni Air,Consumer services,Airlines,Kathmandu,2006,"Airline, defunct 2006"
Agriculture Development Bank,Financials,Banks,Kathmandu,1968,"Bank, rural credit institution"
Air Nepal International,Consumer services,Airlines,Kathmandu,2005,"Airline, defunct 2006"
Asian Airlines,Consumer services,Airlines,Kathmandu,2002[6],"Airline, defunct 2006"
Bajeko Sekuwa,Consumer services,Restaurants & bars,Kathmandu,?,Restaurant chain
Base Air,Consumer services,Airlines,?,2004,"Airline, defunct 2007"
Bhatbhateni supermarket,Consumer services,Retail Chain,Kathmandu,1984,
Buddha Air,Consumer services,Airlines,Jawalakhel,1997,Domestic airline
Chaudhary Group,Conglomerates,-,Kathmandu,1968,"Consumer goods, financials, industrials"
Cosmic Air,Consumer services,Airlines,Kathmandu,1997,"Airline, defunct 2008"
Deurali-Janta Pharmaceuticals,Health care,Pharmaceuticals,Kathmandu,1988,Pharma
Dish Home,Consumer services,Broadcasting & entertainment,Lalitpur,2010,Satellite
Everest Air,Consumer services,Airlines,Kathmandu,1992,"Airline, defunct 1998"
Fly Yeti,Consumer services,Airlines,Kathmandu,2007,"Low-cost airline, defunct 2008"
Flying Dragon Airlines,Consumer services,Airlines,Nepalgunj,2005,Airline
Giribandhu Tea Estate,Consumer goods,Food products,Birtamod,1962[7],Tea
Golyan Group,Conglomerates,-,Kathmandu,1960,"Agriculture, Hospitality, Manufacturing, Renewable Energy"
Gorkha Airlines,Consumer services,Airlines,Kathmandu,1996,Charter airline
Guna Airlines,Consumer services,Airlines,Kathmandu,2009,"Airline, defunct 2013"
Himalayan Bank,Financials,Banks,Kathmandu,1993,Private sector bank
Hulas Motors,Consumer goods,Automobiles,Biratnagar,1996,{{{6}}}
IMS Group Nepal,Conglomerates,-,Kathmandu,1993,"Mobile phones, Consumer Goods, Automobiles, Real estate"
Impro Airways,Consumer services,Airlines,?,2006,"Helicopter airline, defunct 2010"
Karnali Air,Consumer services,Airlines,Kathmandu,?,"Airline, defunct 2003"
Kathmandu Infosys,Technology,Computer services,Kathmandu,2016,Educational Consultant
Krishna Pauroti,Consumer goods,Food products,Kathmandu,1948,Bakery
Laxmi Bank,Financials,Banks,Kathmandu,2002,Commercial bank
Makalu Air,Consumer services,Airlines,Nepalgunj,2009,Airline
Mountain Air,Consumer services,Airlines,?,2000,"Airline, defunct 2002"
Nabil Bank,Financials,Banks,Kathmandu,1984,Commercial bank
Ncell,Telecommunications,Mobile telecommunications,Lalitpur,2004,GSM
Necon Air,Consumer services,Airlines,?,1992,"Airline, defunct 2003"
Nepal Airlines,Consumer services,Airlines,Kathmandu,1958,Flag carrier airline
Nepal Bangladesh Bank,Financials,Banks,Kathmandu,1994,Commercial bank
Nepal Bank Limited,Financials,Banks,Kathmandu,1937,State-owned bank
Nepal Investment Bank,Financials,Banks,Kathmandu,1986,Commercial bank
Nepal Oil Corporation,Oil & gas,Exploration & production,Kathmandu,1970,State owned petro concern
Nepal Railway Company Limited,Industrials,Railroads,Janakpur,1927,Railroads
Nepal Rastra Bank,Financials,Banks,Kathmandu,1956,Central bank
Nepal SBI Bank,Financials,Banks,Kathmandu,1992,Joint venture bank with State Bank of India
Nepal Stock Exchange,Financials,Investment services,Kathmandu,1993,Primary exchange
Nepal Telecom,Telecommunications,Fixed line telecommunications,Kathmandu,1913,State telecom provider
NIDC Development Bank,Financials,Banks,Kathmandu,1959,Industrial bank
Rastriya Banijya Bank,Financials,Banks,Kathmandu,1966,State-owned commercial bank
Ratna Pustak Bhandar,Consumer services,Specialty retailers,Kathmandu,1946,Books
Rastriya Beema Sansthan,Financials,Full line insurance,Kathmandu,1967,Insurance
Shangri-La Air,Consumer services,Airlines,?,1999,"Airline, merged with Necon Air in 2001"
Shree Airlines,Consumer services,Airlines,Kathmandu,1999,Charter helicopter airline
Sita Air,Consumer services,Airlines,Kathmandu,2003,Airline
Skyline Airways,Consumer services,Airlines,Kathmandu,1999,"Airline, defunct 2003"
SmartCell,Telecommunications,Mobile telecommunications,Lalitpur,2008,GSM
Standard Chartered Nepal,Financials,Banks,Kathmandu,1987,"Bank, significant subsidiary of Standard Chartered (UK)"
Subisu,Telecommunications,Fixed line telecommunications,Kathmandu,1999,Cable Internet
Tara Air,Consumer services,Airlines,Kathmandu,2009,Airline
WorldLink,Telecommunications,Fixed line telecommunications,Kathmandu,1995,Internet and network service provider
Yeti Airlines,Consumer services,Airlines,Kathmandu,1998,Airline
